,code,name,bamount,bcount,samount,scount,net
171,002733,雄韬股份,0.0,0,6894.5,2,-6894.5
172,000920,南方汇通,0.0,0,7017.02,2,-7017.02
173,002680,长生生物,0.0,0,7427.6,2,-7427.6
174,000697,炼石有色,0.0,0,7640.78,1,-7640.78
175,002239,奥特佳,0.0,0,7675.23,3,-7675.23
176,300457,赢合科技,0.0,0,7935.24,3,-7935.24
177,002747,埃斯顿,1676.27,1,10080.91,2,-8404.64
178,002176,江特电机,0.0,0,8466.26,1,-8466.26
179,000572,海马汽车,0.0,0,9147.5,3,-9147.5
180,000807,云铝股份,8738.94,2,19178.89,6,-10439.95
181,601069,西部黄金,0.0,0,10836.64,4,-10836.64
182,600125,铁龙物流,0.0,0,12641.1,1,-12641.1
183,002497,雅化集团,18251.9,2,34809.51,5,-16557.61
184,600654,*ST中安,0.0,0,17365.58,3,-17365.58
185,600346,恒力股份,0.0,0,18242.21,2,-18242.21
186,300088,长信科技,0.0,0,18496.98,3,-18496.98
187,300053,欧比特,0.0,0,18857.6,5,-18857.6
188,300340,科恒股份,16812.18,3,36166.44,4,-19354.26
189,002622,融钰集团,0.0,0,20009.0,1,-20009.0
190,002466,天齐锂业,19166.09,2,39297.54,4,-20131.45
191,300149,量子高科,0.0,0,21003.48,6,-21003.48
192,300113,顺网科技,0.0,0,25167.5,3,-25167.5
193,000970,中科三环,2325.67,1,27962.6,4,-25636.93
194,600782,新钢股份,5619.6,3,33239.41,5,-27619.81
195,002156,通富微电,0.0,0,31551.5,4,-31551.5
196,000933,神火股份,2094.54,1,34632.2,4,-32537.66
197,000792,盐湖股份,8942.85,3,48524.2,3,-39581.35
198,000725,京东方A,0.0,0,52129.04,2,-52129.04
