,broker,count,bamount,bcount,samount,scount,top3
531,东莞证券股份有限公司东莞东城分公司,1,0.0,0,320.67,1,旭光股份
532,东方证券股份有限公司杭州龙井路证券营业部,2,1410.14,1,1116.74,1,梅轮电梯
533,民生证券股份有限公司河南分公司,1,0.0,0,888.97,1,畅联股份
534,华泰证券股份有限公司泉州九一街证券营业部,6,4364.69,3,4079.39,3,"中通国脉,建科院,三超新材"
535,华泰证券股份有限公司重庆春晖路证券营业部,3,1360.78,1,3056.32,2,中通国脉
536,民生证券股份有限公司信用交易部,1,0.0,0,426.21,1,中通国脉
537,爱建证券有限责任公司宁波中山西路证券营业部,1,21.02,1,0.0,0,国芳集团
538,东吴证券股份有限公司台州云西路证券营业部,1,20.7,1,0.0,0,辰欣药业
539,国金证券股份有限公司长沙芙蓉中路证券营业部,1,0.06,1,0.0,0,辰欣药业
540,招商证券股份有限公司深圳前海路证券营业部,1,0.0,0,0.46,1,国芳集团
541,银泰证券有限责任公司苏州葑门西街证券营业部,1,0.0,0,0.46,1,国芳集团
542,国信证券股份有限公司深圳福中一路证券营业部,1,0.0,0,1.68,1,辰欣药业
543,安信证券股份有限公司茂名市文明中路证券营业部,1,0.0,0,0.46,1,国芳集团
544,安信证券股份有限公司韶关惠民北路证券营业部,1,0.0,0,1.68,1,辰欣药业
545,光大证券股份有限公司佛山绿景路证券营业部,6,13503.52,4,11457.64,2,"哈三联,达安股份,甘肃电投,"
546,中国银河证券股份有限公司台州引泉路证券营业部,1,767.29,1,0.0,0,*ST中安
547,西藏东方财富证券股份有限公司拉萨金珠西路第一证券营业部,5,1050.91,2,1614.9,3,"*ST中安,建研院,安凯客车,"
548,国金证券股份有限公司客户资产管理部,1,0.0,0,7495.86,1,*ST中安
549,广发证券股份有限公司南京洪武路证券营业部,1,0.0,0,2810.2,1,*ST中安
550,湘财证券股份有限公司娄底氐星路证券营业部,1,590.11,1,0.0,0,海马汽车
551,金元证券股份有限公司上海杨浦区平凉路证券营业部,2,0.0,0,10109.26,2,海马汽车
552,中信建投证券股份有限公司荆州北京西路证券营业部,1,0.0,0,449.16,1,海马汽车
553,海通证券股份有限公司杭州文化路证券营业部,4,2510.26,2,1129.28,2,"北纬科技,美格智能,海马汽车"
554,招商证券股份有限公司中山中山四路证券营业部,1,0.0,0,177.3,1,海马汽车
555,华泰证券股份有限公司上海静安区威海路证券营业部,2,1768.68,2,0.0,0,"迪安诊断,东方市场"
556,国泰君安证券股份有限公司深圳人民南路证券营业部,1,240.8,1,0.0,0,东方市场
557,中信证券股份有限公司上海南京西路证券营业部,1,0.0,0,48.04,1,东方市场
558,中泰证券股份有限公司上海甘河路证券营业部,1,0.0,0,28.91,1,东方市场
559,东方证券股份有限公司上海浦东新区银城中路证券营业部,2,713.76,1,5515.01,1,"凯撒旅游,富瀚微"
560,中国中投证券有限责任公司青岛延吉路证券营业部,1,180.95,1,0.0,0,凯撒旅游
561,招商证券股份有限公司昆明北京路证券营业部,1,160.92,1,0.0,0,凯撒旅游
562,光大证券股份有限公司南京中山北路证券营业部,1,0.0,0,595.16,1,凯撒旅游
563,中泰证券股份有限公司无锡中山路证券营业部,1,0.0,0,302.41,1,凯撒旅游
564,招商证券股份有限公司北京金融街证券营业部,1,0.0,0,300.62,1,凯撒旅游
565,国泰君安证券股份有限公司吉首人民中路证券营业部,1,0.0,0,212.14,1,凯撒旅游
566,渤海证券股份有限公司天津友谊路证券营业部,1,1190.44,1,0.0,0,天音控股
567,国泰君安证券股份有限公司杭州天目山路证券营业部,1,0.0,0,439.85,1,天音控股
568,中泰证券股份有限公司南京中山南路证券营业部,1,1946.57,1,0.0,0,北纬科技
569,东莞证券股份有限公司厦门分公司,1,0.0,0,1153.61,1,北纬科技
570,光大证券股份有限公司江门发展大道证券营业部,1,0.0,0,956.69,1,北纬科技
571,中信建投证券股份有限公司济南经四路证券营业部,1,0.0,0,863.34,1,北纬科技
572,华福证券有限责任公司福州五一北路证券营业部,1,0.0,0,762.1,1,北纬科技
573,中国中投证券有限责任公司宁波江东北路证券营业部,3,9254.82,3,0.0,0,"华北高速,恒银金融,九典制药"
574,招商证券股份有限公司哈尔滨长江路证券营业部,1,1498.43,1,0.0,0,华北高速
575,安信证券股份有限公司广州开创大道证券营业部,1,0.0,0,876.66,1,华北高速
576,国泰君安证券股份有限公司广州东风中路证券营业部,1,0.0,0,861.7,1,华北高速
577,华鑫证券有限责任公司西安解放路证券营业部,2,434.44,1,662.43,1,"华北高速,大博医疗"
578,中国银河证券股份有限公司绍兴证券营业部,4,8496.69,2,6317.18,2,"士兰微,和佳股份,安凯客车"
579,长城证券股份有限公司北京中关村大街证券营业部,1,1133.11,1,0.0,0,三维通信
580,中国银河证券股份有限公司龙泉华楼街证券营业部,1,0.0,0,597.84,1,三维通信
581,长江证券股份有限公司慈溪新城大道证券营业部,1,0.0,0,559.74,1,三维通信
582,中国中投证券有限责任公司东莞虎门证券营业部,1,0.0,0,404.22,1,三维通信
583,华安证券股份有限公司黄山分公司,1,0.0,0,341.53,1,三维通信
584,南京证券股份有限公司南京热河路证券营业部,1,0.0,0,339.33,1,三维通信
585,中国银河证券股份有限公司重庆民族路证券营业部,7,11143.65,4,8544.84,3,"新华都,中科信息,京威股份"
586,中国中投证券有限责任公司杭州环球中心证券营业部,7,9175.46,5,2622.65,2,"新华都,哈三联,建科院"
587,国盛证券有限责任公司赣州信丰阳明北路证券营业部,1,529.67,1,0.0,0,蓝黛传动
588,中泰证券股份有限公司东营东三路证券营业部,1,202.88,1,0.0,0,蓝黛传动
589,安信证券股份有限公司南昌红谷中大道证券营业部,1,0.0,0,608.36,1,蓝黛传动
590,联储证券有限责任公司北京分公司,1,0.0,0,541.37,1,蓝黛传动
591,恒泰证券股份有限公司深圳香林路证券营业部,1,0.0,0,166.68,1,蓝黛传动
592,国盛证券有限责任公司吉安遂川工农兵大道证券营业部,1,0.0,0,379.43,1,盐津铺子
593,兴业证券股份有限公司晋江崇德路证券营业部,1,618.84,1,0.0,0,美格智能
594,中银国际证券有限责任公司武汉黄孝河路证券营业部,1,882.79,1,0.0,0,二六三
595,中泰证券股份有限公司深圳深南大道证券营业部,1,284.22,1,0.0,0,美格智能
596,中信证券股份有限公司北京安外大街证券营业部,3,0.0,0,7559.38,3,"二六三,科新机电"
