code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,name-2015-1,eps-2015-1,eps_yoy-2015-1,bvps-2015-1,roe-2015-1,epcf-2015-1,net_profits-2015-1,profits_yoy-2015-1,distrib-2015-1,report_date-2015-1,name-2015-2,eps-2015-2,eps_yoy-2015-2,bvps-2015-2,roe-2015-2,epcf-2015-2,net_profits-2015-2,profits_yoy-2015-2,distrib-2015-2,report_date-2015-2,name-2015-3,eps-2015-3,eps_yoy-2015-3,bvps-2015-3,roe-2015-3,epcf-2015-3,net_profits-2015-3,profits_yoy-2015-3,distrib-2015-3,report_date-2015-3,name-2015-4,eps-2015-4,eps_yoy-2015-4,bvps-2015-4,roe-2015-4,epcf-2015-4,net_profits-2015-4,profits_yoy-2015-4,distrib-2015-4,report_date-2015-4,name-2016-1,eps-2016-1,eps_yoy-2016-1,bvps-2016-1,roe-2016-1,epcf-2016-1,net_profits-2016-1,profits_yoy-2016-1,distrib-2016-1,report_date-2016-1,name-2016-2,eps-2016-2,eps_yoy-2016-2,bvps-2016-2,roe-2016-2,epcf-2016-2,net_profits-2016-2,profits_yoy-2016-2,distrib-2016-2,report_date-2016-2,name-2016-3,eps-2016-3,eps_yoy-2016-3,bvps-2016-3,roe-2016-3,epcf-2016-3,net_profits-2016-3,profits_yoy-2016-3,distrib-2016-3,report_date-2016-3,name-2016-4,eps-2016-4,eps_yoy-2016-4,bvps-2016-4,roe-2016-4,epcf-2016-4,net_profits-2016-4,profits_yoy-2016-4,distrib-2016-4,report_date-2016-4
002214,大立科技,电器仪表,浙江,138.27,3.55,4.59,128192.4,103488.36,9525.17,19816.56,0.43,0.063,2.12,5.47,20080218,27441.33,0.6,15.09,2.96,46.78,10.88,35950,大立科技,0.01,60.0,,0.19,,175.6,82.95,,04-22,大立科技,0.04,-55.56,,2.0,,1880.93,2.75,,08-22,大立科技,0.06,-57.14,,2.97,,2800.68,-13.68,,10-24,大立科技,0.07,-69.57,,3.44,,3245.03,-36.11,10派0.25,03-26,大立科技,0.0,-62.5,,0.16,,151.52,-13.71,,04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000831,*ST五稀,小金属,山西,0.0,9.81,9.81,218938.92,188506.91,13786.92,75535.68,0.77,-0.044000000000000004,2.09,6.34,19980911,11804.3,0.12,-78.44,40.37,26.37,-46.57,88792,,,,,,,,,,,*ST五稀,0.0,-102.33,,0.06,,145.74,-103.46,,08-12,,,,,,,,,,,*ST五稀,-0.41,612.28,,-17.38,,-39782.0,612.96,,04-08,*ST五稀,-0.02,-626.67,,-0.74,,-1547.4,-624.29,,04-28,*ST五稀,-0.04,-3800.0,,-1.74,,-3607.52,-2575.37,,08-12,*ST五稀,-0.04,-40.54,,-2.08,,-4307.26,-40.37,,10-25,,,,,,,,,,
002654,万润科技,半导体,深圳,63.75,3.9,8.28,312381.09,138325.95,53801.51,97006.4,1.17,0.15,2.67,4.51,20120217,34565.37,0.42,84.78,254.08,30.16,11.45,65211,万润科技,0.01,-80.0,,0.39,,218.74,-76.87,,04-23,万润科技,0.11,-21.43,,3.05,,2073.47,-17.61,,08-20,,,,,,,,,,,万润科技,0.26,13.04,,5.74,,5648.01,39.79,10派0.5转20,01-26,,,,,,,,,,,万润科技,0.08,-24.09,,3.9,,6334.38,205.5,,08-10,万润科技,0.15,-5.13,,6.53,,11735.15,254.08,,10-28,,,,,,,,,,
601965,中国汽研,汽车服务,重庆,40.33,9.61,9.61,454953.34,246902.88,149025.86,141141.02,1.47,0.209,4.04,2.78,20120611,135994.31,1.41,42.14,37.92,33.8,18.56,33159,中国汽研,0.11,10.0,,1.93,,6864.98,6.75,,04-18,中国汽研,0.11,-52.17,,2.96,,10604.29,-26.92,,08-06,,,,,,,,,,,中国汽研,0.32,-50.77,,8.35,,31087.94,-24.8,10派1,03-26,中国汽研,0.06,-45.45,,1.59,,6043.18,-11.97,,04-23,中国汽研,0.12,9.09,,2.89,,11065.05,4.35,,08-06,中国汽研,0.21,40.0,,5.22,,20072.73,37.92,,10-22,中国汽研,0.36,12.5,,,,34184.23,9.96,,01-13
002111,威海广泰,航空,山东,49.16,2.64,3.82,400975.34,229978.17,68560.65,147342.52,3.86,0.36,6.84,3.29,20070126,67460.86,1.77,14.95,32.6,35.44,12.55,24858,威海广泰,0.08,14.29,,1.99,,2514.65,16.17,,04-29,威海广泰,0.19,18.75,,4.52,,5779.99,20.12,,08-29,威海广泰,0.3,25.0,,6.62,,9880.57,33.92,,10-17,威海广泰,0.5,38.89,,10.27,,16681.13,50.12,10派1.2,04-12,,,,,,,,,,,威海广泰,0.25,31.58,,4.51,,9181.34,58.85,,08-22,威海广泰,0.36,20.0,,6.24,,13101.61,32.6,,10-28,,,,,,,,,,
603090,宏盛股份,专用机械,江苏,112.03,0.25,1.0,49762.62,38124.5,4361.65,22067.4,2.21,0.37,4.41,9.83,20160831,10653.88,1.07,0.0,0.0,36.03,17.12,17241,,,,,,,,,,,,,,,,,,,,,宏盛股份,0.38,,,12.7,,2855.36,,,10-24,宏盛股份,0.49,5.81,3.19,16.27,0.45,3686.05,5.68,,08-08,,,,,,,,,,,宏盛股份,0.25,,3.34,8.52,0.28,1895.81,,,08-08,宏盛股份,0.37,-2.63,,10.82,,2900.04,1.56,,10-24,,,,,,,,,,
002651,利君股份,专用机械,四川,169.52,3.78,10.03,237132.5,170592.25,22502.03,33509.53,0.33,0.065,1.86,7.82,20120106,31035.05,0.31,-19.05,-37.4,44.32,20.76,36532,利君股份,0.1,-52.38,,2.05,,3878.06,-54.11,,04-24,,,,,,,,,,,利君股份,0.1,-82.46,,5.56,,10330.27,-54.9,,10-28,利君股份,0.14,-78.46,,7.81,,14484.22,-44.46,,04-23,,,,,,,,,,,利君股份,0.05,-68.75,,2.51,,4717.06,-24.33,,08-25,,,,,,,,,,,,,,,,,,,,
603869,北部湾旅,旅游服务,广西,83.85,0.73,3.49,384600.63,209946.97,60364.63,187780.45,5.38,0.43,8.35,3.6,20150326,28347.84,0.81,33.25,20.26,49.51,24.21,16642,北部湾旅,0.01,-200.0,,0.92,,316.97,-298.64,,04-30,北部湾旅,0.19,90.0,,8.13,,3646.0,127.7,,08-28,北部湾旅,0.39,50.0,,16.74,,7795.49,82.88,,10-27,北部湾旅,0.35,9.38,,10.51,,7135.62,37.52,10派1,04-01,北部湾旅,0.02,80.0,,0.54,,386.69,22.0,,04-26,北部湾旅,0.13,-31.58,,3.76,,2806.62,-23.02,,08-22,北部湾旅,0.43,10.26,,11.51,,9375.13,20.26,,10-26,,,,,,,,,,
300258,精锻科技,汽车配件,江苏,35.23,3.75,4.05,200490.05,64222.68,105168.88,35061.7,0.87,0.33799999999999997,3.46,4.59,20110826,58012.13,1.43,24.92,35.54,40.37,21.71,12818,精锻科技,0.17,5.19,6.72,2.57,0.09,3067.96,5.19,,04-18,精锻科技,0.25,-28.3,4.51,5.57,0.16,6722.06,7.52,,08-06,精锻科技,0.37,-25.75,4.64,8.3,0.51,10089.52,11.37,,10-21,精锻科技,0.52,-25.72,,11.36,,13992.34,11.43,10派1.1转5,04-20,精锻科技,0.16,-7.45,,3.24,,4256.66,38.75,,04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300399,京天利,互联网,北京,123.06,0.44,1.52,49259.9,42056.1,3645.96,6345.83,0.42,0.188,2.95,10.47,20141009,21059.93,1.39,73.12,28.07,32.18,13.17,16155,京天利,0.14,-46.15,5.13,2.38,0.07,1092.58,-30.28,,04-17,京天利,0.18,-47.06,5.08,3.38,0.02,1459.02,-28.15,10转9,08-28,京天利,0.28,-37.78,5.18,5.26,0.07,2234.18,-17.6,,10-23,,,,,,,,,,,,,,,,,,,,,京天利,0.13,-27.78,2.89,4.67,0.05,2034.32,39.43,,08-25,,,,,,,,,,,,,,,,,,,,
002261,拓维信息,互联网,湖南,61.73,7.45,11.11,418600.91,128791.61,19164.35,190746.59,1.72,0.147,3.33,3.63,20080723,68356.63,0.62,67.79,16.09,64.33,22.83,65832,拓维信息,0.25,400.0,,7.35,,10760.52,419.29,,04-13,拓维信息,0.28,211.11,,7.91,,12285.88,253.14,,08-06,拓维信息,0.32,128.57,,2.57,,14088.23,153.62,,10-27,拓维信息,0.48,242.86,,12.9,,20946.02,272.03,,02-26,拓维信息,0.06,-76.0,,1.9,,6831.29,-36.52,,04-28,,,,,,,,,,,拓维信息,0.15,-53.13,,4.51,,16354.46,16.09,,10-18,,,,,,,,,,
300584,海辰药业,化学制药,江苏,91.99,0.2,0.8,34061.55,9754.3,15028.7,7264.67,0.91,0.39,4.37,10.95,20170112,11848.53,1.48,0.0,0.0,66.38,16.06,36511,,,,,,,,,,,,,,,,,,,,,海辰药业,0.37,,,,,2341.25,,,12-28,海辰药业,0.67,17.54,3.92,18.53,0.9,4032.9,17.87,,12-28,,,,,,,,,,,海辰药业,0.35,,4.2,8.7,0.08,2120.28,,,12-28,海辰药业,0.52,40.54,,,,3119.59,33.25,,12-28,,,,,,,,,,
603123,翠微股份,百货,北京,75.27,3.68,5.24,510222.69,180584.91,205716.22,173578.56,3.31,0.109,5.51,1.98,20120503,50342.44,0.96,-7.52,-38.79,20.03,1.47,18848,,,,,,,,,,,翠微股份,0.14,-30.5,,2.59,,7305.91,19.23,,08-26,翠微股份,0.18,-22.61,,3.33,,9308.61,31.71,,10-31,翠微股份,0.32,-8.57,,5.89,,16609.55,0.0,10派1.4,04-23,翠微股份,0.07,-28.72,,1.2,,3486.28,-29.35,,04-30,翠微股份,0.09,-37.41,,1.56,,4553.63,-37.67,,08-27,,,,,,,,,,,,,,,,,,,,
300546,雄帝科技,元器件,深圳,127.89,0.13,0.53,67227.56,62856.9,1003.75,23485.13,4.4,0.81,10.3,10.05,20160928,23670.38,4.44,0.0,0.0,53.64,18.65,24373,,,,,,,,,,,雄帝科技,0.59,,,9.62,-0.33,2363.42,,,09-27,雄帝科技,0.69,,,,,2753.51,,,10-27,雄帝科技,1.34,22.94,6.98,21.19,0.76,5346.83,22.8,,09-13,,,,,,,,,,,雄帝科技,0.48,-18.64,7.46,6.67,-0.94,1925.99,-18.51,,09-13,,,,,,,,,,,,,,,,,,,,
