code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
915,山大华特,0.63,6.78,,10.81,,14673.23,38.58,,07-28,16.96,68.5306,865.1216,3.6918,3.8039,47.3199,2.0675,87.0617,0.68,264.7059,20.8872,45.5241,17.5364,13.5672,6.7797,16.1355
916,华北高速,0.16,1.98,,3.68,,17426.52,1.94,,08-08,35.97,55.0312,484.3808,0.4443,1.0461,172.0677,95.7174,1.8805,0.3037,592.6902,-3.5854,4.9312,5.3852,-1.48,1.9769999999999999,5.6858
926,福星股份,0.49,36.11,,4.72,,46248.96,35.96,,07-29,8.42,27.6243,5487.7419,5.7806,7.6421,23.5537,0.221,814.4796,0.1501,1199.2005,-5.4359,89.0347,-2.1158,10.7527,36.1111,2.2273
927,,,,,,,,,,,,,,,,,,,,,,,,,,
928,中钢国际,0.2,-44.63,,5.8,,25149.87,8.35,,07-28,7.0,13.5762,3591.8874,2.8582,0.5769,312.0125,1.9897,90.4659,0.2903,620.0482,-9.5532,7.7198,45.1477,6.8311,-44.629,44.8596
929,兰州黄河,0.04,-122.14,,0.97,,707.71,-122.13,,07-28,2.13,26.677,331.3491,1.7836,12.6825,14.1928,0.9757,184.4829,0.2867,627.8340000000001,-6.7447,,-0.9234,-6.1086,-122.1383,0.2351
931,,,,,,,,,,,,,,,,,,,,,,,,,,
933,神火股份,0.32,-5.29,,10.22,,61172.49,-5.3,,08-04,6.61,25.6577,9240.8557,4.8623,25.1982,7.1434,1.4557,123.6519,0.5559,323.7992,18.5325,2.3333,-11.0973,3.1772,-5.2941,4.8211
939,,,,,,,,,,,,,,,,,,,,,,,,,,
966,,,,,,,,,,,,,,,,,,,,,,,,,,
969,,,,,,,,,,,,,,,,,,,,,,,,,,
970,,,,,,,,,,,,,,,,,,,,,,,,,,
975,银泰资源,0.1,17.46,,2.71,,10410.3,17.55,,08-01,24.17,61.6042,430.5975,0.3981,,,1.1805,152.4778,0.3909,460.4758,32.4015,16.9795,6.132999999999999,8.4074,17.4603,6.6836
978,,,,,,,,,,,,,,,,,,,,,,,,,,
983,西山煤电,0.29,738.9,,5.39,,91737.25,739.33,,08-01,6.72,35.6757,13632.8527,4.3262,3.2052,56.1587,2.5728,69.9627,0.8425,213.6499,58.8247,637.7683,6.5109,4.2946,738.9049,7.0669
987,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,,,,,,,,,,20.37,66.4319,1777.6676,2.0448,3.6769,48.9543,1.0319,174.4355,0.5855,307.4295,40.959,19.3129,9.5766,18.2815,19.2671,9.5708
990,诚志股份,0.32,-575.48,,2.56,,39625.11,-1619.73,10派1,08-08,14.09,32.6056,2811.3119,2.2436,2.1311,84.4634,3.2694,55.056000000000004,0.4451,404.4035,114.3023,,505.0539,301.0077,-575.4829,551.5663
997,新大陆,0.46,84.0,,16.11,,42802.59,81.65,,08-04,17.07,37.2032,2507.1939,2.6717,2.8208,63.8117,1.3965,128.8937,0.5609,320.9128,58.387,72.2458,22.5939,32.6017,84.0,26.7017
999,,,,,,,,,,,,,,,,,,,,,,,,,,
