code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
300413,,,,,,,3.39,26.863000000000003,2797.6072,6.9765,75.1694,4.7892,14.0918,25.5468,1.6294,220.9402,2.1766,-39.8197,68.9257,60.2494,-46.8085,64.0763
300414,中光防雷,0.65,-57.79,19.91,8057.91,-17.43,22.39,35.7582,359.7728,2.1347,3.156,114.0684,3.9901,90.2233,0.6243,576.6458,-21.1938,-17.4347,113.2065,71.048,-57.7922,113.2065
300415,伊之密,0.3,-64.29,10.06,7232.32,-4.89,6.08,34.0241,1188.8893,4.9537,5.2351,68.7666,2.271,158.5205,1.5306,235.2019,1.17,1.6973,98.9388,12.6428,-64.2857,100.9111
300416,,,,,,,15.47,47.0504,312.9323,4.9829,2.6932,133.67,1.9239,187.1199,0.9486,379.5066,23.2117,27.5987,69.3339,40.6405,-6.4867,67.2819
300417,南华仪器,0.81,-17.77,9.72,3227.62,7.36,19.1,46.648999999999994,168.9801,4.1416,4.5183,79.676,1.8619,193.3509,0.638,564.2633,15.8602,7.3576,88.0363,75.3781,-17.771,88.0363
300418,昆仑万维,0.37,-76.13,16.67,40528.84,24.18,22.65,60.9525,1789.1406,1.5871,6.5921,54.6108,,,1.1974,300.6514,-7.4971,24.176,164.8487,164.8393,-76.12899999999999,164.8487
300419,浩丰科技,1.42,-18.39,10.02,5722.04,6.53,16.14,29.5721,354.44300000000004,8.6239,5.2769,68.2219,2.185,164.7597,0.7762,463.798,24.7911,6.5346,436.4933,315.9395,-18.3908,436.4933
300420,五洋科技,0.28,-46.15,5.48,2169.72,-29.96,10.49,36.5174,206.7127,2.2769,1.1792,305.2917,1.0235,351.7342,0.401,897.7556,8.8746,-29.9588,206.8504,329.8589,-46.1538,206.8504
300421,力星股份,0.5,-19.08,10.36,5416.26,3.4,11.32,24.3812,478.1048,4.2687,3.0592,117.6778,3.1226,115.2885,1.4065,255.9545,1.5114,0.7869,80.2903,8.0934,-19.0827,80.2903
300422,博世科,0.35,-47.76,13.11,4299.2,37.52,8.51,29.108,504.6733,3.9649,1.7026,211.4413,5.1719,69.6069,0.8267,435.4663,80.0384,37.2755,80.5115,74.9358,-47.7612,80.5536
300423,鲁亿通,0.52,-20.0,11.28,4400.75,2.78,14.0,31.5939,314.1721,3.5701,1.2822,280.7674,10.3569,34.7594,0.7296,493.4211,3.3295,2.7757,104.9341,23.5286,-20.0,104.9341
300424,,,,,,,17.49,48.6609,412.6465,3.1009,2.6269,137.0437,1.4925,241.206,0.7582,474.8088,-18.9478,-10.7373,81.7642,17.5669,-27.1605,81.7642
300425,环能科技,0.34,-66.0,7.51,5218.57,-3.32,15.83,47.7324,329.5573,1.8658,1.5452,232.9795,1.0175,353.8084,0.4948,727.5667,40.162,-5.3353,157.5013,133.4272,-66.0,163.6634
300426,唐德影视,0.73,-48.95,14.98,11235.01,30.98,20.9,35.9899,537.4672,3.3591,1.4937,241.0123,0.684,526.3158,0.4545,792.0792,31.8005,30.9686,155.9245,62.3698,-48.951,150.6627
300427,红相电力,0.83,-2.35,13.67,7093.79,25.99,23.23,50.1386,305.2546,3.4425,1.2321,292.1841,3.7954,94.8517,0.5779,622.9451,14.0725,34.1701,95.6234,79.161,-2.3529,74.9878
