code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,earnings,fluctuate
601113,华鼎股份,0.05,-266.67,1.38,3824.35,-281.45,6.42,17.2896,594.9233,0.7141,1.9505,46.142,1.5156,59.3824,0.2244,401.0695,74.2432,,5.7429999999999986,13.6417,-266.6667,3.3452,-10.0,30.0
601116,三江购物,0.1,26.42,2.49,4029.65,26.39,3.84,22.6476,1048.9068,2.5535,212.9236,0.4227,2.4253,37.1088,0.6976,129.0138,-13.3335,26.3853,1.7703,-1.4168,26.4175,1.7703,-10.0,30.0
601117,中国化学,0.06,-25.0,1.12,31025.25,-18.85,2.95,13.1512,10514.5554,2.1314,0.765,117.6471,0.49,183.6735,0.1544,582.9016,-4.8529,2.0736,4.7445,1.7331,-25.0,4.7385,10.0,30.0
601118,海南橡胶,0.0,-116.29,0.17,1406.85,-116.18,0.93,4.5331,1504.8423,0.3827,4.0213,22.3808,0.7558,119.0791,0.2675,336.4486,,,,,,,10.0,20.0
601126,,,,,,,-4.08,41.2651,468.526,0.5761,0.1741,516.9443,0.35,257.1429,0.1134,793.6508,-6.3279,-376.2045,3.5405,4.7839,-293.4426,3.7493,-10.0,20.0
601127,,,,,,,3.43,20.8923,5874.4015,6.5819,15.332,5.8701,3.3862,26.5785,0.4476,201.0724,84.0066,113.1458,,,43.75,,-10.0,30.0
601128,,,,,,,27.6,35.9982,1145.941,0.5155,,,,,,,,11.564,,,0.0,,-20.0,40.0
601137,博威合金,0.09,-25.0,1.74,5494.67,115.73,4.31,11.7907,1272.1016,2.0281,2.9396,30.6164,0.9745,92.3551,0.4751,189.4338,98.4005,115.728,53.5531,76.8205,-25.0,53.5531,-10.0,20.0
601139,深圳燃气,0.1,0.0,2.84,22211.8,5.47,9.05,24.3379,2452.753,1.1088,5.8592,15.3605,5.5941,16.0884,0.5756,156.3586,22.4433,5.1381,6.5767,9.8779,0.0,8.1998,-10.0,20.0
601155,新城控股,0.02,-117.64,0.28,4227.15,-121.82,2.07,38.8681,2037.1844,0.9018,62.5532,1.4388,0.0289,3114.1869,0.0237,3797.4684,,,,,,,10.0,30.0
601158,,,,,,,63.75,41.5789,876.9801,0.1827,0.9732,92.4784,1.4217,63.3045,0.099,909.0909,-9.5932,83.5581,1.1042,0.9433,100.0,0.805,-0.0,10.0
601163,三角轮胎,0.2,-25.93,1.98,15686.92,-2.63,7.26,18.1313,2159.6554,2.6995,3.2742,27.4876,1.5472,58.1696,0.2647,340.0076,36.3087,-2.252,176.3983,48.8794,-25.9259,176.3277,-10.0,20.0
601166,兴业银行,0.88,7.32,4.7,1682400.0,7.16,48.7,57.3583,34546.0,1.8132,,,,,,,,7.1071,18.9142,13.8625,7.3171,18.6399,20.0,20.0
601168,西部矿业,0.02,-150.0,0.35,4001.77,-140.67,0.62,9.9717,6357.2337,2.6677,272.0475,0.3308,4.0679,22.1244,0.5483,164.1437,,,,,,,30.0,40.0
601169,北京银行,0.36,-14.29,4.3,544500.0,3.22,40.01,50.0,13606.0,0.8947,,,,,,,,3.5323,21.8021,14.1415,-14.2857,20.697,10.0,20.0
601177,杭齿前进,0.01,-77.78,0.13,208.12,-77.75,0.53,21.007,386.7286,0.9666,0.7214,124.7574,0.3337,269.7033,0.2143,419.972,14.864,-33.6216,0.104,-2.8715,-77.7778,-0.6709999999999999,-10.0,20.0
601179,,,,,,,12.28,35.3184,2478.6295,0.4835,0.3268,275.3978,0.4455,202.0202,0.0973,924.9743,1.9337,31.5606,4.5334,5.9802,30.837,3.3921,-0.0,20.0
601186,中国铁建,0.21,12.17,2.17,287864.4,11.93,2.33,9.2203,123065.019,9.0625,0.9408,95.6633,0.4069,221.1846,0.2003,449.326,3.6966,11.6013,14.5644,11.3099,12.1693,16.6873,0.0,20.0
601188,龙江交通,0.06,-3.33,2.0,7576.14,2.31,67.4,61.3438,112.3913,0.0854,25.6912,3.5031,0.0239,3765.6904,0.0416,2163.4615,1.9402,1.7299,4.1584,13.9345,-3.3333,4.4526,-0.0,20.0
601198,,,,,,,41.97,50.5257,720.5921,0.2612,,,,,,,,10.1974,39.6775,-8.6659,0.0,39.4444,10.0,20.0
601199,,,,,,,21.33,44.1955,218.6354,0.2337,4.0162,22.4092,1.1366,79.1835,0.0972,925.9259,13.4222,2.5603,10.8687,3.9385,-50.0,10.8687,-10.0,20.0
601200,,,,,,,28.8,45.5209,535.3969,0.762,1.2156,74.0375,2.6801,33.5808,0.3059,294.2138,40.8784,71.2307,42.5716,33.5003,,32.4442,-20.0,30.0
601208,,,,,,,10.71,23.7869,432.9771,0.6909,1.575,57.1429,1.224,73.5294,0.4122,218.3406,17.3678,166.5806,0.7555,-8.2792,250.0,4.4679,0.0,10.0
601211,国泰君安,0.32,10.34,2.65,256334.48,7.94,45.88,58.2459,5586.5949,0.7326,,,,,,,,-17.3301,6.4081,-9.827,10.3448,3.0098,10.0,20.0
601212,白银有色,0.0,-47.83,0.2,2351.99,-45.35,0.42,8.0136,5592.4721,0.802,3.3149,27.1501,0.6008,149.8003,0.2164,415.8965,17.395,51.3713,,,-47.8261,,-0.0,50.0
601216,君正集团,0.06,-7.18,3.83,53401.29,85.71,28.9,40.3669,1847.6698,0.2189,12.5595,7.1659,2.6803,33.5783,0.3619,248.6875,48.8683,85.81700000000002,13.8683,-2.694,-7.1848,13.8477,10.0,20.0
601218,,,,,,,5.17,23.0116,328.3791,0.3311,0.4747,189.5934,0.541,166.3586,0.1255,717.1315,-9.0306,-43.111,3.5389,-2.5105,-40.9722,3.6792,-10.0,20.0
601222,林洋能源,0.08,-70.37,1.55,13319.76,19.58,20.33,37.6265,654.9403,0.3712,0.4299,209.351,1.2223,73.6317,0.1222,736.4975,-2.0225,17.1421,62.4273,67.3445,-70.3704,63.2448,20.0,30.0
601225,陕西煤业,0.27,-7023.08,7.45,267378.49,-6982.83,21.78,55.7249,12273.9335,1.2273,2.4755,36.3563,4.5849,19.6297,0.463,194.3844,110.224,3805.2698,24.1649,11.0695,-7023.0769,19.7893,40.0,60.0
601226,华电重工,-0.05,-460.14,-1.67,-5743.34,-460.13,-6.36,7.335,901.8114,0.7807,0.4228,212.8666,0.3416,263.466,0.1402,641.9401,-26.2254,-448.1107,-7.622999999999998,-7.4375,-460.1449,-7.6794,-20.0,20.0
601228,广州港,0.03,,1.5,16293.67,29.95,8.88,25.3842,1833.4945,0.29600000000000004,2.513,35.8138,11.188,8.0443,0.5179,173.7787,34.6675,30.1812,20.7775,13.0172,,22.7195,-20.0,60.0
601229,上海银行,0.65,-2.99,3.29,387441.9,6.55,47.33,50.4275,8185.12,1.3631,,,,,,,,6.5041,24.6678,16.617,-2.9851,24.7697,20.0,20.0
601231,,,,,,,4.43,11.4352,6469.8637,2.9733,1.4614,61.5848,2.1737,41.4041,0.5202,173.0104,31.9863,239.3107,13.6349,13.753,225.0,13.6363,30.0,50.0
601233,桐昆股份,0.26,62.5,2.89,32150.03,105.63,5.23,10.4413,6145.2146,4.9882,10.9471,8.2214,1.8458,48.7593,0.7533,119.4743,26.4098,106.3768,58.9165,30.2185,62.5,59.0681,10.0,40.0
601238,广汽集团,0.59,96.67,8.35,382857.84,98.68,22.67,23.823,16884.7105,2.6112,14.3132,6.2879,5.3838,16.7168,0.488,184.4262,66.4447,103.5902,17.4223,11.9814,96.6667,17.1035,10.0,10.0
601258,庞大集团,0.02,100.0,0.89,11689.06,206.19,0.73,10.235,15816.7275,2.3695,10.1157,8.8971,1.1554,77.8951,0.3049,295.1787,12.4886,208.6927,5.5759,12.8224,100.0,5.7932,-20.0,40.0
601288,,,,,,,37.54,45.6829,148388.0,0.4568,,,,,,,,2.2192,8.1506,10.3756,0.0,8.017000000000001,20.0,20.0
601311,,,,,,,6.56,20.5363,1491.8681,1.7584,1.5761,57.103,0.9293,96.8471,0.3696,243.5065,14.4203,0.4853,12.1077,27.0986,0.0,10.8192,-10.0,20.0
601313,江南嘉捷,0.04,-56.98,0.96,1640.36,-56.34,3.44,29.3367,476.6711,1.2001,0.5885,152.9312,1.1968,75.2005,0.2588,347.7589,-4.0377,-58.3599,2.6175,-1.1872,-56.9792,2.899,-10.0,20.0
