,报表日期,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
19,购建固定资产、无形资产和其他长期资产所支付的现金,158855103.81,103131805.39,59963207.56,151165688.29,86404691.48,65233499.45,44345678.01,140524442.13,79679501.09,54940506.76,27266188.32,126931625.83,141021108.38,63896285.30,61132844.37,192577033.54,124967029.31,99245188.20,36795093.29,461543894.09,379531560.35,260526848.28,96325717.47,271401210.99,184523325.57,99375627.44,42427959.24,207082162.77,131419352.02,66933870.28,35218608.25,164939139.04,142529957.91,89964644.77,30757971.75,511081308.81,278758617.08,170968181.76,44444000.38,195884809.35,135166278.95,51723696.66,19404705.65,62968176.13,41919311.79,20529860.86,8276849.24,55486372.39,35573581.03,20144938.48,11112800.52,64724252.46,38619394.60,8802464.85,12673879.19,104842579.37,99809771.14,85550535.24,6437178.49,418164385.95,277692619.95,105668665.55,23602268.48,72112251.61,8615970.60,29942941.98,19516507.83,105720332.56,0.0
20,投资所支付的现金,9666900.00,600000.00,600000.00,900000.00,600000.00,300000.00,0,147594061.52,0,0,0,42269766.00,0,0,0,0,0,0,0,10000000.00,123336956.90,87500000.00,40000000.00,24153714.50,452199450.08,389799450.08,0,383941765.09,0,200000000.00,0,4000000.00,600000.00,300000.00,0,5336000.00,173949650.00,121000000.00,0,30735995.03,3260170.00,760170.00,0,379700.00,300000.00,300000.00,0,306075.00,400000.00,0,0,100000.00,100000.00,100000.00,0,39252267.27,25451447.27,829997.27,10510500.00,0,0,0,0,30000000.00,30000000.00,8000000.00,0,240000000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14073683.20,69340000.00,0,0,26769653.88,39464924.26,39028312.32,0,24306434.44,0,0,0,59288970.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13703600.00,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,4809791.68,0,10234.94,10277424.20,5230203.78,0,5107426.38,0,0,0,0,0,0,0,0,127748.57,260164.00,150000.00,150000.00,0,0,157199.00,8600.00,1343469.93,188078.80,188078.80,61280.00,0,0,0,0,0,25103829.02,103876.42,93829.02,0,0,0,0,17708.00,3739321.61,0,0,18167614.40,31943290.74,0,14307117.22,15642211.29,5041015.78,164812.52,555236.54,0,931414.28,0,0,0,0.0
23,投资活动现金流出小计,168522003.81,103731805.39,60563207.56,152065688.29,87004691.48,65533499.45,44345678.01,288118503.65,79679501.09,54940506.76,27266188.32,169201391.83,145830900.06,63896285.30,61143079.31,202854457.74,130197233.09,99245188.20,41902519.67,471543894.09,502868517.25,348026848.28,136325717.47,295554925.49,636722775.65,489175077.52,42427959.24,605225359.63,201019516.02,267083870.28,35368608.25,195708792.92,182594882.17,129450156.09,30766571.75,542067213.18,452896345.88,292156260.56,44505280.38,285909774.38,138426448.95,52483866.66,19404705.65,63347876.13,67323140.81,20933737.28,8370678.26,55792447.39,35973581.03,20144938.48,11112800.52,64841960.46,42458716.21,8902464.85,12673879.19,162262461.04,157204509.15,100084132.51,31254795.71,433806597.24,282733635.73,105833478.07,24157505.02,102112251.61,39547384.88,33942941.98,19516507.83,225720332.56,0.0
24,投资活动产生的现金流量净额,-165767935.17,-101265787.07,-58429522.56,-139732229.36,-86445270.75,-65060203.73,-44345678.01,-275300391.13,-71784420.04,-47955903.16,-27266188.32,-164742760.63,-145099088.06,-63768473.30,-61094724.31,-194702053.00,-122549001.70,-94800303.88,-34965322.99,-462327274.50,-493532252.13,-347474603.64,-130937164.61,-290013500.98,-632342439.82,-486409941.34,-42427959.24,-586163099.98,-197936642.36,-267050566.87,-35291515.96,-187962264.75,-175644053.19,-125174025.18,-29415771.75,-528137759.45,-440761168.88,-285432394.15,-42086463.57,-277946675.69,-128715676.38,-50121608.73,-18204705.65,-57096043.79,-58465956.61,-13357697.13,-8254121.74,-53355318.71,-35326377.98,-19624712.44,-11047703.55,-60609603.09,-20416811.51,-3679777.17,-12628879.19,-157281137.18,-152272149.15,-96820272.51,-31254795.71,-433806597.24,-279761247.06,-102741213.91,-24157505.02,-71773941.04,-39490324.31,18184158.02,32608492.17,-144048298.02,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,33000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87900000.00,87900000.00,87900000.00,0,21600000.00,0,0,0,0,3325126.31,0,0,178000000.00,181208000.00,179604000.00,0,71000000.00,12226500.00,6822500.00,0,52635100.00,10200000.00,10000000.00,10000000.00,1650000.00,0,0,0,1200000.00,1200000.00,0,0,8555108.13,7655108.13,7655108.13,7655108.13,26222628.25,19085834.41,19035834.41,0,18622125.00,18622125.00,0,0,288203298.99,288203296.99,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,33000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87900000.00,0,0,0,21600000.00,0,0,0,0,0,0,0,178000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,3750000000.00,2615000000.00,1025000000.00,3939700000.00,2963500000.00,2024500000.00,786500000.00,3590000000.00,3096865000.00,2107265000.00,2257865000.00,5304251666.67,3643165556.00,2884974633.33,1870000000.00,6319167555.56,6533300000.00,4798790400.00,1433000000.00,5348102940.00,2916950000.00,2155000000.00,1750000000.00,2046572901.90,1574900000.00,839900000.00,278000000.00,1741747222.26,1767200000.00,1233900000.00,331000000.00,2066622000.00,2501377485.00,2119748000.00,449000000.00,2121241807.84,1253368538.22,1098814590.13,158230000.00,736580511.18,490606740.00,259746740.00,124220000.00,556185800.00,500785800.00,365585800.00,144650000.00,407073886.00,357944000.00,257844000.00,111750000.00,357368905.00,291512900.00,215403460.00,84000000.00,413585391.29,301723892.29,278125000.00,71000000.00,120000000.00,51000000.00,50000000.00,0,0,0,2480100.00,2480100.00,2000000.00,0.0
29,发行债券收到的现金,3585600000.00,1992000000.00,1992000000.00,0,0,0,0,0,0,0,0,0,0,0,0,1000000000.00,0,1000000000.00,996000000.00,0,0,0,0,0,0,0,0,398400000.00,0,0,0,697200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,421961386.30,237765340.46,105000000.00,763758873.87,530707110.18,355754923.91,221553709.93,1188763006.72,653226538.65,483590305.92,180018714.31,1100386344.44,397000000.00,272000000.00,68757596.00,869200882.48,180546902.96,247685390.00,20083763.04,482870773.82,142021046.10,107438569.86,0,24961778.15,146412656.34,120366045.13,114725001.63,144199035.00,40278731.87,36520813.26,0,49334914.31,18552255.01,17592215.01,20193653.06,73490033.33,5416404.81,5323598.33,50173.96,0,1338092.40,2394768.72,207617.15,0,1639420.29,1214815.52,1179956.66,918326.51,764973.12,644783.61,601651.26,10996829.88,6794642.93,5923610.40,60674496.06,1064307.05,14932192.35,0,0,0,144459.86,1714625.38,1095379.00,2162266.81,1239536.69,0,0,0,0.0
31,筹资活动现金流入小计,7757561386.30,4844765340.46,3122000000.00,4736458873.87,3494207110.18,2380254923.91,1008053709.93,4778763006.72,3750091538.65,2590855305.92,2437883714.31,6404638011.11,4040165556.00,3156974633.33,1938757596.00,8188368438.04,6713846902.96,6046475790.00,2449083763.04,5918873713.82,3146871046.10,2350338569.86,1750000000.00,2093134680.05,1721312656.34,960266045.13,392725001.63,2284346257.26,1810803858.18,1270420813.26,331000000.00,2991156914.31,2701137740.01,2316944215.01,469193653.06,2265731841.17,1271011443.03,1110960688.46,158280173.96,789215611.18,502144832.40,272141508.72,134427617.15,557835800.00,502425220.29,366800615.52,145829956.66,409192212.51,359908973.12,258488783.61,112351651.26,376920843.01,305962651.06,228982178.53,152329604.19,440872326.59,335741919.05,297160834.41,71000000.00,138622125.00,69766584.86,51714625.38,1095379.00,290365565.80,289442833.68,2480100.00,2480100.00,2000000.00,0.0
32,偿还债务支付的现金,3342000000.00,2033000000.00,685000000.00,3136500000.00,2066500000.00,1065000000.00,840000000.00,5325930335.00,4575279223.89,3333500000.00,2469365000.00,7038328660.00,4340211617.00,3585546061.00,2886046061.00,6441452940.00,6295682254.99,4457674695.00,1802139800.00,2512238966.90,1913725968.57,1152900000.00,300000000.00,1981732750.00,1785527450.00,1019800000.00,372800000.00,2009512000.00,1854545123.68,1559233190.00,711050000.00,2324188267.65,2105358406.45,1696756556.45,223763288.26,561458721.62,483717969.96,242717969.96,125850000.00,691193177.40,553555183.98,409694911.26,179418171.26,426388716.06,449262698.85,264346768.60,179670968.60,374844824.00,325927478.80,202034250.00,97300000.00,351228688.00,314000010.50,246000000.00,149250010.50,249865124.88,138563250.42,124496825.52,41000000.00,60000000.00,50000000.00,0,0,0,0,2480100.00,2480100.00,2000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,184931079.78,118122480.65,45882917.06,267173884.26,210308811.09,141339556.05,29635092.82,471058608.90,310110688.69,246937195.31,59214014.00,704612307.00,591894819.67,483385929.51,131356433.79,923879105.07,857129473.87,773451019.48,196612801.18,1083929357.07,899880493.96,720242242.47,53567470.72,445254409.41,297110165.09,133259912.85,28772161.68,180668056.29,125877527.75,89871044.67,21457672.90,148676149.22,96472258.66,66807290.55,27119228.17,93423294.79,65657090.91,67851532.16,10737601.19,85862212.14,38682390.57,28902904.18,7902132.78,26775032.67,21995470.32,12353079.45,4857718.48,23183320.28,18627526.23,11469178.40,5005312.09,23363722.24,18201150.23,8867678.12,5804943.14,25220593.56,19335490.90,10161711.09,1224670.18,19127752.11,16803776.30,38440880.00,25436191.20,4016011.14,2847559.33,26514604.20,21995320.74,7648716.12,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,58044663.76,0,14294913.60,0,50334094.57,0,18511000.00,0,0,0,0,0,120199515.28,0,0,0,555985118.45,0,0,0,275840333.59,0,0,0,0,0,0,0,41895146.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140248.00,0,0,0,361583.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,426136744.33,207020419.26,105000000.00,778075935.35,709096224.78,442617309.72,225970794.99,1038326184.96,663111113.38,453258237.48,162487655.00,1175148229.08,507600000.00,373832025.20,79724007.48,552243032.48,359437648.67,264971666.00,146733816.00,671471452.20,125090295.18,150795000.00,17582800.00,492216650.08,2419812.66,0,0,120507178.71,51201093.58,49445288.58,0,86686620.55,100192532.58,447363435.02,235191304.00,165228988.62,1821437.68,1561263.74,28749.50,30200472.50,1496025.01,421945.51,4081.10,0,136965.59,132141.59,102092.79,68910.53,51625.18,48943.82,22260.10,169838.60,124452.42,74044.57,71791.89,2891821.12,0,0,115992.34,1747309.55,849860.01,922225.68,42090.44,0,0,0,0,0,0.0
36,筹资活动现金流出小计,3953067824.11,2358142899.91,835882917.06,4181749819.61,2985905035.87,1648956865.77,1095605887.81,6835315128.86,5548501025.96,4033695432.79,2691066669.00,8918089196.08,5439706436.67,4442764015.71,3097126502.27,7917575077.55,7512249377.53,5496097380.48,2145486417.18,4267639776.17,2938696757.71,2023937242.47,371150270.72,2919203809.49,2085057427.75,1153059912.85,401572161.68,2310687235.00,2031623745.01,1698549523.25,732507672.90,2559551037.42,2302023197.69,2210927282.02,486073820.43,820111005.03,551196498.55,312130765.86,136616350.69,807255862.04,593733599.56,439019760.95,187324385.14,453163748.73,471395134.76,276831989.64,184630779.87,398097054.81,344606630.21,213552372.22,102327572.19,374762248.84,332325613.15,254941722.69,155126745.53,277977539.56,157898741.32,134658536.61,42340662.52,80875061.66,67653636.31,39363105.68,25478281.64,4016011.14,2847559.33,28994704.20,24475420.74,9648716.12,0.0
